		 DefaultPropeller_Geometry.txt 

		 Propeller Geometry Table

Date and time: 05-Aug-2026

Propeller Diameter 	 = 2.0000 m
Number of Blades   	 = 2
Propeller Speed 	 = 1000 RPM
Propeller Hub Diameter 	 = 0.4000 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2000  0.1600  0.2056  0.0053  0.1747  15.5407  0.0000  0.0000
0.2628  0.1731  0.1723  0.0038  0.1755  12.0035  0.0000  0.0000
0.3251  0.1867  0.1446  0.0029  0.1756   9.7548  0.0000  0.0000
0.3868  0.1998  0.1224  0.0023  0.1755   8.2205  0.0000  0.0000
0.4472  0.2111  0.1039  0.0019  0.1755   7.1191  0.0000  0.0000
0.5061  0.2205  0.0887  0.0016  0.1754   6.2958  0.0000  0.0000
0.5632  0.2275  0.0763  0.0014  0.1754   5.6617  0.0000  0.0000
0.6180  0.2314  0.0663  0.0013  0.1754   5.1621  0.0000  0.0000
0.6702  0.2321  0.0583  0.0012  0.1754   4.7617  0.0000  0.0000
0.7196  0.2299  0.0514  0.0011  0.1754   4.4368  0.0000  0.0000
0.7657  0.2244  0.0456  0.0011  0.1754   4.1710  0.0000  0.0000
0.8083  0.2152  0.0410  0.0010  0.1755   3.9524  0.0000  0.0000
0.8472  0.2030  0.0375  0.0010  0.1755   3.7723  0.0000  0.0000
0.8821  0.1892  0.0346  0.0010  0.1755   3.6240  0.0000  0.0000
0.9128  0.1735  0.0326  0.0010  0.1755   3.5029  0.0000  0.0000
0.9391  0.1520  0.0324  0.0010  0.1756   3.4054  0.0000  0.0000
0.9608  0.1227  0.0316  0.0011  0.1756   3.3296  0.0000  0.0000
0.9779  0.0910  0.0268  0.0011  0.1757   3.2731  0.0000  0.0000
0.9902  0.0594  0.0193  0.0011  0.1758   3.2339  0.0000  0.0000
0.9975  0.0289  0.0102  0.0012  0.1758   3.2108  0.0000  0.0000
1.0000  0.0010  0.0000  0.0012  0.1758   3.2032  0.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
