		 Prop1_Geometry.txt 

		 Propeller Geometry Table

Date and time: 27-Jul-2026

Propeller Diameter 	 = 0.2000 m
Number of Blades   	 = 3
Propeller Speed 	 = 800 RPM
Propeller Hub Diameter 	 = 0.0500 m
Meanline  Type: NACA a=0.8
Thickness Type: NACA 65A010
Lifting Surface Geometry Corrections: none
 
 
 r/R	  c/D	  t0/c	   f0/c	 P/D	 pitch	 skew 	 rake/D
    	     	      	       	    	 (deg)	 (deg)	       
0.2500  0.0807  0.2911  0.0000  2.7000  73.7811  5.0000  0.0000
0.2794  0.0864  0.2619  0.0000  2.7000  71.9881  5.5889  0.0000
0.3088  0.0915  0.2375  0.0000  2.7000  70.2338  6.1769  0.0000
0.3382  0.0962  0.2160  0.0000  2.7000  68.5224  6.7631  0.0000
0.3673  0.1003  0.1976  0.0000  2.7000  66.8580  7.3465  0.0000
0.3963  0.1041  0.1833  0.0000  2.7000  65.2439  7.9264  0.0000
0.4251  0.1074  0.1728  0.0000  2.7000  63.6826  8.5017  0.0000
0.4536  0.1101  0.1648  0.0000  2.7000  62.1765  9.0716  0.0000
0.4818  0.1121  0.1584  0.0000  2.7000  60.7269  9.6353  0.0000
0.5096  0.1134  0.1531  0.0000  2.7000  59.3349  10.1918  0.0000
0.5370  0.1139  0.1488  0.0000  2.7000  58.0011  10.7403  0.0000
0.5640  0.1138  0.1454  0.0000  2.7000  56.7256  11.2799  0.0000
0.5905  0.1133  0.1425  0.0000  2.7000  55.5082  11.8099  0.0000
0.6165  0.1125  0.1401  0.0000  2.7000  54.3485  12.3293  0.0000
0.6419  0.1115  0.1379  0.0000  2.7000  53.2456  12.8375  0.0000
0.6667  0.1103  0.1360  0.0000  2.7000  52.1987  13.3336  0.0000
0.6908  0.1089  0.1345  0.0000  2.7000  51.2067  13.8168  0.0000
0.7143  0.1072  0.1332  0.0000  2.7000  50.2684  14.2864  0.0000
0.7371  0.1053  0.1324  0.0000  2.7000  49.3823  14.7417  0.0000
0.7591  0.1030  0.1322  0.0000  2.7000  48.5473  15.1820  0.0000
0.7803  0.1002  0.1327  0.0000  2.7000  47.7620  15.6066  0.0000
0.8007  0.0969  0.1340  0.0000  2.7000  47.0248  16.0148  0.0000
0.8203  0.0933  0.1362  0.0000  2.7000  46.3346  16.4061  0.0000
0.8390  0.0895  0.1393  0.0000  2.7000  45.6898  16.7798  0.0000
0.8568  0.0857  0.1428  0.0000  2.7000  45.0893  17.1353  0.0000
0.8736  0.0818  0.1464  0.0000  2.7000  44.5317  17.4720  0.0000
0.8895  0.0780  0.1500  0.0000  2.7000  44.0159  17.7896  0.0000
0.9044  0.0744  0.1534  0.0000  2.7000  43.5406  18.0874  0.0000
0.9183  0.0705  0.1576  0.0000  2.7000  43.1050  18.3651  0.0000
0.9311  0.0659  0.1634  0.0000  2.7000  42.7078  18.6221  0.0000
0.9429  0.0604  0.1710  0.0000  2.7000  42.3483  18.8582  0.0000
0.9536  0.0544  0.1792  0.0000  2.7000  42.0256  19.0729  0.0000
0.9633  0.0483  0.1785  0.0000  2.7000  41.7389  19.2658  0.0000
0.9718  0.0422  0.1687  0.0000  2.7000  41.4876  19.4368  0.0000
0.9793  0.0362  0.1519  0.0000  2.7000  41.2709  19.5855  0.0000
0.9856  0.0303  0.1300  0.0000  2.7000  41.0885  19.7118  0.0000
0.9908  0.0247  0.1042  0.0000  2.7000  40.9399  19.8153  0.0000
0.9948  0.0195  0.0753  0.0000  2.7000  40.8248  19.8960  0.0000
0.9977  0.0148  0.0442  0.0000  2.7000  40.7427  19.9538  0.0000
0.9994  0.0114  0.0144  0.0000  2.7000  40.6936  19.9884  0.0000
1.0000  0.0100  0.0000  0.0000  2.7000  40.6772  20.0000  0.0000
 

r/R  	 [ ], radial position / propeller radius 
c/D  	 [ ], chord length    / propeller diameter 
P/D  	 [ ], pitch           / propeller diameter 
fo/C 	 [ ], max camber      / chord length 
to/C 	 [ ], max thickness   / chord length 
